category,texts
1,ญาติของมันเปิดประตูออก ร้องจี๊ดๆ ด้วยความดีใจ “ดีใจจังที่ได้เจอเธอ!”
0,หนูนาร้อง “เข้ามาสิ!”
0,หนูบ้านก้มหัวลอดเข้าไปข้างใน เช่นเดียวกับบ้านหนูในชนบทหลังอื่นๆ
0,ในบ้านไม่มีอย่างอื่นนอกจากโพรงเล็กๆ โพรงหนึ่งในพื้นดิน และผนังว่างเปล่าและพื้นโคลน
-1,แต่สำหรับหนูบ้านผู้คุ้นเคยกับบ้านหลังใหญ่โต ที่ผนังมีกระดาษปิดตกแต่งและพื้นบ้านที่เงาวับ ที่นี่ก็น่าผิดหวังมากทีเดียว
1,แต่หนูบ้านไม่อยากเสียมารยาท มันจึงแค่พูดออกมาว่า “ทำไมเราไม่ออกไปกินข้างนอกกันล่ะ วันนี้อากาศดีมากเลยนะ!”
1,“เป็นความคิดที่ดี” หนูนาพูด
0,แล้วมันก็วิ่งพรวดพราดไปที่ห้องเก็บของเพื่อจะเอาอาหารกลางวัน
0,ต่อมามันก็กระวีกระวาดออกมาข้างนอกหอบเมล็ดดอกทานตะวันมาเต็มอ้อมแขน
1,“ตามสบายเลยนะ” หนูนาพูด
0,หนูบ้านแทะเมล็ดพืช “นี่ก็เป็นอาหารธรรมดาๆ” มันคิด
1,“บางทีจานต่อไปอาจจะน่าตื่นเต้นกว่านี้ก็ได้”
0,หนูนาสังเกตเห็นว่าญาติของมันกินไปเพียงนิดเดียวจึงพูดขึ้น “นี่จ้ะ” แล้วก็ยื่นเมล็ดดอกทานตะวันให้หนูบ้านเพิ่มอีก “กินให้เต็มที่เลยนะ”
0,“ฉันไม่อยากอิ่มตั้งแต่อาหารเรียกน้ำย่อยน่ะ” หนูบ้านยิ้ม
0,“ฉันอยากเก็บท้องไว้เผื่ออาหารหลัก”
1,“อาหารหลักงั้นหรือ” หนูนาพูดอย่างแปลกใจ
1,“ทั้งหมดก็มีอยู่แค่นี้แหละจ้ะ”
1,หนูบ้านประหลาดใจ “แค่นี้เองหรือ” มันร้อง
0,“แล้วปกติเธอกินอะไรล่ะ”
0,“ก็กินเมล็ดพืชแบบนี้ไง” หนูนาตอบ
0,“บางทีก็จะมีสตรอเบอรี่หนึ่งหรือสองลูก แต่ต้องเป็นหน้าของมันนะ...”
-1,หนูนาหยุดพูดเมื่อเห็นสีหน้าตกใจของญาติ
0,“ไม่มีพายหรือ” หนูบ้านถาม “ไม่มีแซนด์วิช หรือมัฟฟิน หรือชีสบ้างหรือ”
0,หนูนาส่ายหัว
0,“แล้วเค้กช็อกโกแลต ทาร์ตแยม หรือว่าไอศกรีมล่ะ”
0,“ฉันยังไม่เคยชิมด้วยซ้ำ” หนูนาตอบ
1,“โถ ญาติที่รักของฉัน” หนูบ้านพูด
0,“ชีวิตเธอยังไม่คุ้มค่า ถ้ายังไม่เคยได้ลองไอศกรีม”
0,หนูบ้านลุกขึ้นยืน แล้วดึงหนูนาให้ลุกตาม
1,“เราจะต้องออกจากที่นี่เดี๋ยวนี้” มันพูดอย่างหนักแน่น
0,“เธอไปกินข้าวเย็นที่บ้านฉันเถอะ”
0,“แต่ว่าฉันยังไม่เคยออกนอกเขตทุ่งนามาก่อนนี่”
0,หนูนาร้องเมื่อพวกมันวิ่งไปที่สถานี
0,“งั้นก็ได้เวลาที่เธอจะต้องออกจากทุ่งนาแล้วละ” หนูบ้านตอบ
0,พวกมันกระโดดขึ้นรถไฟ แล้วปีนป่ายขึ้นไปยังที่นั่งข้างหน้าต่าง
1,เมื่อรถไฟค่อยๆ เคลื่อนตัวผ่านชนบท หนูนามองออกไปนอกหน้าต่างอย่างตื่นเต้น
0,จมูกของมันแนบกระจก ภาพทุ่งนาเปลี่ยนเป็นบ้านคนและถนน รถประจำทางและรถยนต์
-1,ต่อมาไม่นานนักพวกมันก็มาถึงเมืองอันแสนวุ่นวาย
0,เมื่อหนูทั้งสองก้าวออกจากสถานี หนูนาก็อ้าปากกว้าง
-1,ตัวมันสั่นด้วยความกลัวเมื่อเห็นรถวิ่งอย่างรวดเร็วผ่านหน้ามัน
-1,และตัวสั่นมากขึ้นเมื่อรถประจำทางขนาดยักษ์จอดเสียงเอี๊ยดข้างพวกมัน
-1,แต่ดูเหมือนหนูบ้านแทบจะไม่ได้สังเกตเห็นด้วยซ้ำ “เร็วเข้า” มันพูด แล้วมุดหายเข้าไปกับการจราจรอันแสนวุ่นวาย
-1,กว่าพวกมันจะมาถึงบ้านที่หนูบ้านอาศัย หนูนาก็เกือบจะถูกเหยียบ เฉียดถูกรถทับ และเหน็ดเหนื่อยเป็นที่สุด
1,“ยินดีต้อนรับสู่บ้านอันต่ำต้อยของฉัน” หนูบ้านพูด
0,แล้วหนูทั้งสองก็ลอดตัวผ่านประตูหน้าเข้าไป
1,หนูนาร้องอุทาน เมื่อเห็นกระเบื้องเป็นมันเงาอยู่ทั่วไปหมด ผนังห้องมีดอกไม้งดงามแปลกตาคลุมอยู่ และบนเพดานมีโคมระย้าทำจากแก้วเจียระไนส่องแสงเหมือนดวงอาทิตย์ห้อยอยู่
0,“เธอหิวหรือยัง” หนูบ้านถาม
0,“หิวตาลายเลยละ” หนูนาตอบ
1,“งั้นพวกเรารออะไรกันอยู่ล่ะ” หนูบ้านหัวเราะ
0,หนูนาทั้งสองตัววิ่งผ่านพื้นกระเบื้องไปยังห้องอาหาร และปีนขึ้นไปตามขาโต๊ะอาหารขนาดยักษ์
-1,“อาหารเย็นตั้งโต๊ะแล้ว” หนูบ้านพูดอย่างโอ้อวด
0,ปากของหนูนาอ้ากว้าง
1,มันไม่เคยเห็นอาหารมากมายขนาดนี้มาก่อนในชีวิต มีชีสกองเป็นภูเขา และบิสกิตชิ้นเล็กๆ เรียงเป็นแถว องุ่นสีม่วงพวงโต และแซนด์วิชที่ชวนให้น้ำลายหกวางเป็นตั้งๆ และที่ปลายโต๊ะยังมีเค้กและของหวานน่าอร่อยมากมายเกินกว่าที่มันเคยฝันไว้วางอยู่
1,“ตามสบายเลยนะ” หนูบ้านพูด ขณะชีสอยู่เต็มปาก
0,หนูนาวิ่งไปรอบโต๊ะ ทำอะไรไม่ถูก
0,มันดึงองุ่นตรงนี้แล้วแทะแซนด์วิชตรงนั้น ก่อนจะปีนไปทั่วกองชีส ชิมอาหารตรงนี้นิดตรงนี้หน่อยจนเต็มปาก
0,“วี้ด!” หนูบ้านร้องเสียงแหลมจากฝั่งตรงข้ามของโต๊ะ ก่อนจะเลื่อนตัวไปตามช้อนลงมาที่ชามใส่ วิปครีม
1,“รอฉันด้วย!” หนูนาตะโกนอย่างร่าเริงแล้วก็วิ่งไปร่วมสนุกด้วย
0,หลังจากที่กินเค้กช็อกโกแลตเข้าไป และเลียน้ำตาลบนชิ้นเชอรี่พร้อมกับเคี้ยวทาร์ตสตรอเบอรี่ชิ้นใหญ่อย่างติดหนึบแล้ว หนูนาก็คิดว่าบ้านในเมืองหลังนี้ให้ความรู้สึกเหมือนเป็นบ้านตัวเองเลย
1,ขณะที่มันกำลังเช็ดอุ้งเท้าด้วยผ้าเช็ดปากแข็งๆ สีขาว หนูบ้านก็ร้องว่า “มากับฉันสิ ฉันมีอะไรให้เธอประหลาดใจ”
0,หนูบ้านใช้อุ้งเท้าลากญาติของมันไปยังถ้วยแก้วเย็นๆ ใบหนึ่งที่มีลูกกลมๆ ขนาดใหญ่สีขาวและสีชมพูอยู่ในนั้น
1,“นี่...” หนูบ้านพูดอย่างตื่นเต้น “ไอศกรีมไงล่ะ”
0,หนูทั้งสองแกว่งตัวขึ้นไปบนช้อนแล้วกระโดดลงไปในถ้วยใบนั้น
0,“มันเย็นเจี๊ยบเลย!” หนูนาอุทาน
0,“แน่อยู่แล้ว” หนูบ้านพูด “ลองชิมดูสิ”
0,หนูนาจุ่มอุ้งเท้าลงไปในไอศกรีมแล้วเลีย
1,มันส่งความรื่นรมย์อันหอมหวานเย็นจนสั่นสะท้านไปถึงสันหลังของเจ้าหนูน้อย “สวรรค์จริงๆ เลย!”
1,หนูนาถอนหายใจ พร้อมกับหลับตาอย่างเป็นสุข
0,ทันใดนั้น ประตูห้องอาหารก็เปิดออก ชายคนหนึ่งเดินเข้ามาในห้องเพียงชั่วพริบตา
-1,หนูบ้านก็กระโดดลงไปซ่อนตัวอยู่ด้านหลังถ้วยไอศกรีม แต่หนูนาตรึงแน่นอยู่กับที่ด้วยความกลัว
0,“หาที่ซ่อนสิ!” หนูบ้านกระซิบ “เร็วเข้า ก่อนที่เขาจะเห็นเจ้า”
0,เมื่อสติกลับมา หนูนาก็มุดตัวลงไประหว่างไอศกรีมสองลูก
-1,มันเย็นกว่าอากาศตอนกลางฤดูหนาวเสียอีก แต่หนูนาก็ไม่กล้าขยับมันหมอบตัวสั่น จนกระทั่งได้ยินเสียงประตูปิดลงอีกครั้ง แล้วเห็นใบหน้าของหนูบ้านกำลังมองลงมา
-1,“ตะ ตอน นี้ มะ มัน ปะ ปลอด ภัย หระ หรือ ยะ ยัง” หนูนาถาม ฟันของมันสั่นกระทบกันด้วยความหนาว
1,“ปลอดภัยแล้ว” หนูบ้านตอบ พลางดึงตัวญาติของมันออกมาจากถ้วยไอศกรีม แล้วปัดเกล็ดน้ำแข็งออกจากหนวด
-1,“มากินพายแอปเปิ้ลกัน” หนูบ้านพูดให้หนูนาคลายความหวาดกลัว “พายจะช่วยให้เธออบอุ่นขึ้น”
0,ขณะที่หนูบ้านและหนูนากำลังมุ่งหน้าไปยังพายแอปเปิ้ลอบที่สุดขอบโต๊ะ ก็มีเสียง “เมี้ยว” ดังขึ้น
-1,ก่อนที่หนูนาจะทันได้ถามว่าเกิดอะไรขึ้น แมวสีส้มตัวเขื่องท่าทางดุร้ายก็กระโดดขึ้นมาบนโต๊ะตรงหน้าพวกมัน
0,“วิ่งให้เร็วที่สุด” หนูบ้านร้องเสียงแหลม
-1,คราวนี้ ไม่จำเป็นต้องบอกหนูนาซ้ำสอง ทั้งคู่หนีอย่างอลหม่านโดยมีแมวจี้ตามหลังมาติดๆ
0,พวกมันวิ่งผ่านเค้กช็อกโกแลต ลอดตัวผ่านช่องระหว่างจานสองใบแล้ววิ่งไปรอบๆ ถาดชีส
-1,แมวขู่อย่างดุร้ายพร้อมกับวิ่งไล่หลังพวกมัน ทำให้แก้วล้มชามปลิวไปทุกทิศทุกทาง
0,หนูทั้งสองวิ่งมาถึงขอบโต๊ะได้ทันเวลาพอดี
0,เมื่อหนูนากระโดดลงจากโต๊ะ มันรู้สึกได้ว่ากรงเล็บของแมวพลาดหลังของมันไปอย่างหวุดหวิด
-1,หนูนากระโดดลงบนพรมผืนนุ่ม หัวใจเต้นถี่รัวด้วยความกลัว ด้านหลังของมัน
-1,เจ้าแมวกำลังขู่อย่างโกรธแค้นเมื่อมันเซถลาไปที่ขอบโต๊ะ ตะปบผ้าปูโต๊ะไว้เพื่อกันไม่ให้ตัวเองหล่นลงไป
0,“ทางนี้!” หนูบ้านร้อง ชี้ไปทางรู้เล็กๆ ตรงริมผนัง
-1,มีเสียงร้องอย่างเจ็บปวดและเสียงโครมครามดังสนั่นเมื่อแมวหล่นลงมาที่พื้น
0,มันดึงผ้าปูโต๊ะและจานกับแก้วทั้งหมดตามลงมาด้วย
0,หนูน้อยทั้งสองมุดเข้ารูไปโดยไม่หันกลับมามอง แล้วทรุดตัวลงไปกองที่พื้นด้านหลังกำแพง สีข้างของหนูทั้งสองขยับขึ้นลง
-1,“นั่นก็แค่ข้อเสียเล็กๆ น้อยๆ ข้อหนึ่งของการใช้ชีวิตแบบคนที่มีระดับน่ะ” หนูบ้านหอบแฮก
-1,“ข้อเสียเล็กๆ น้อยๆ งั้นหรือ” หนูนาร้อง
0,“เชิญเธอมีชีวิตแบบมีระดับของเธอต่อไปเถอะ ฉันขอกลับชนบทของฉันดีกว่า”
0,“อะไรนะ” หนูบ้านพูด “แล้วก็อยู่โดยไม่มีอาหารจากสวรรค์พวกนี้น่ะหรือ”
1,“ใช่” หนูนาตอบอย่างหนักแน่น
1,“ฉันยินดีจะอยู่อย่างสงบสุข
-1,มากกว่ามาเสี่ยงชีวิต เพื่อแลกกับไอศกรีมหนึ่งอุ้งมือแบบนี้”
1,“นิทานเรื่องนี้สอนให้รู้ว่า” ไม่มีที่ไหนจะอุ่นใจ เหมือนบ้านเรา
0,ลากับหมาป่า
1,บ่ายวันหนึ่ง ขณะที่เจ้าลาอ้วนพีตัวหนึ่งกำลังเล็มต้นถั่วหย่อมหนึ่งอย่างมีความสุข
-1,ก็มีเสียงคำรามต่ำๆ น่ากลัวดังขึ้น
-1,มันหมุนตัวกลับมาเห็นหมาป่าท่าทางดุร้ายวิ่งตัดทุ่งหญ้าตรงมาที่มัน
0,นัยน์ตาของหมาป่าหรี่เล็กลงและแยกเขี้ยวยิงฟันออกมา ท่าทางของมันหิวโซเอามากๆ
-1,“หนีไม่ทันแล้ว” เจ้าลาคิดอย่างตื่นกลัว “ข้าเสร็จมันแน่!”
0,ตอนนี้หมาป่าเข้ามาใกล้เสียจนเจ้าลามองเห็นนัยน์ตาวาววับและน้ำลายที่หยดจากซี่ฟันของมันอย่างชัดเจน
-1,เจ้าลาคิดหาทางเอาตัวรอดอย่างสิ้นหวัง เมื่อหมาป่าอยู่ห่างออกไปเพียงเสี้ยวหนวดของมัน
-1,เจ้าลาก็ตะโกนออกมาว่า “โอ๊ย! กีบเท้าที่น่าสงสาร” มันร้อง “ไม่น่ามาถูกหนามตำเจ็บๆ อย่างนี้เลย!”
-1,“ข้าไม่มัวมาใส่ใจกับเรื่องเล็กๆ น้อยๆ อย่างนี้หรอกน่า” หมาป่าเลียริมฝีปาก “หนามนั่นคงจะอยู่รบกวนเจ้าอีกไม่นานนักหรอก”
0,เจ้าลาถอนหายใจ “ถ้าเจ้าวางแผนจะกินข้าละก็” มันพูด “เชิญได้เลย แต่เจ้าน่าจะเอาหนามออกจากกีบเท้าข้าก่อน ไม่งั้นมันจะติดคอตอนเจ้ากลืนได้นะ”
1,“เจ้าช่างมีน้ำใจเสียจริง” หมาป่าพูดพลางชายตามอง “ข้าชอบมื้อกลางวันที่ได้ช่วยเหลือผู้อื่น”
0,หมาป่าก้มลงดูกีบเท้าเจ้าลา
0,“หนามตำตรงไหนกันล่ะ” มันถาม “ให้ข้าดูหน่อยซิ”
0,เจ้าลายกกีบเท้าด้านหลังข้างหนึ่งขึ้น
0,“ที่เท้าข้างนี้” มันพูด “เจ้ามองเห็นไหม”
0,“ไม่เห็น...” หมาป่าพูด แล้วก้มใกล้เข้าไปอีก
0,“อยู่ตรงกลางเลย” เจ้าลาตอบ ยกเท้าสูงขึ้นอีกนิ “เจ้าเห็นหรือยัง”
0,หมาป่าก้มลงใกล้ขึ้นกว่าเดิม กระทั่งจมูกของมันเกือบแตะกีบเท้าเจ้าลา
0,“ไม่เห็นมี...” หมาป่าตอบ
0,“จริงหรือ” เจ้าลาพูด “อาจจะเพราะมันไม่มีหนามอยู่จริงๆ น่ะสิ!”
-1,แล้วเจ้าลาก็ใช้ขาหลังทั้งสองข้างเตะหมาป่าสุดแรงเกิดหมาป่าร้องลั่น ตีลังกาลอยละลิ่วไปหล่นตุ้บตรงกลางทุ่งหญ้า
1,ลาเฝ้ามองอย่างดีใจเมื่อหมาป่าที่กำลังมึนงงพาตัวเองลุกขึ้นแล้วค่อยๆ ย่องเข้าป่าไป
1,“ฮ่า ฮ่า” ลาหัวเราะชอบใจ “ข้าชอบหมาป่าที่ชอบช่วยเหลือผู้อื่นจัง!”
-1,“นิทานเรื่องนี้สอนให้รู้ว่า” คนโง่ย่อมเป็นเหยื่อของคนฉลาด
0,ราชสีห์กับหนู
0,“ข้าจะต้องเก็บเมล็ดพืชไว้สำหรับฤดูหนาว” หนูน้อยคิดเมื่อมันวิ่งไปตามทาง 
1,“แล้วข้าก็ต้องเตือนเด็กๆ ให้ล้างหลังหูให้สะอาดด้วย”
-1,หนูน้อยมัวแต่วุ่นวายกับความคิดเสียจนไม่ได้สนใจว่ากำลังวิ่งไปไหน กระทั่งมาถึงเนินชันๆลูกหนึ่ง
1,มันเริ่มต้นปีนขึ้นไป หญ้าบนเนินเขาเป็นสีทอง และพื้นข้างใต้เท้าของมันก็ให้ความรู้สึกอุ่นอย่างประหลาด
1,“ช่างเป็นเนินเขาที่ประหลาดเสียจริง” หนูน้อยพูดกับตัวเอง ระหว่างที่หยุดพักหายใจ
1,มันก็สังเกตเห็นอะไรแปลกๆ เนินเขาทั้งลูกค่อยๆขยับขึ้นลงอยู่ข้างใต้ตัวมัน
0,“ช่วยด้วย” หนูคิด “นี่ดูเหมือนกับว่ามันกำลังหายใจอยู่เลย แต่มีใครเคยได้ยินเรื่องเนินเขาที่หายใจได้บ้างล่ะ”
-1,หนูใช้อุ้งเท้าเขี่ยๆพื้น เพื่อดูว่ามันทำมาจากอะไร ทันใดนั้นเนินเขาทั้งลูกก็สั่นอย่างแรง
0,หนูน้อยเสียการทรงตัวแล้วล้มกลิ้งไม่เป็นท่า หล่นตุ้บไปที่หญ้าสีเขียวเย็นๆตรงตีนเขา
0,หนูมองดูด้วยดวงตากลมโตเหมือนจานรองแก้ว
1,เมื่อเนินเขาสีทองหน้าตาประหลาดค่อยๆสูงขึ้น สูงขึ้นตรงหน้า หนูเข้าใจทันทีว่า นี่มันไม่ใช่เนินเขา
0,แต่เป็นราชสีห์ขนาดมหึมาต่างหาก
-1,“อี๊ก!” หนูน้อยร้องเสียงแหลมด้วยความหวาดกลัว
0,มันหันหลังกลับแล้ววิ่งหนีเอาตัวรอด
-1,ราชสีห์คำรามเสียงแสบแก้วหู ตะปบอุ้งเท้าลงบนหางหนู ตรึงมันไว้อยู่กับที่อย่างมั่นคง
-1,“กล้าดียังไงมาปลุกข้า” ราชสีห์คำรามด้วยความโกรธจัด
-1,“ข้าขะ ขอโทษจะ จะ จริงๆ” หนูพูดตะกุกตะกัก หนวดสั่นระริกไปด้วยความกลัว “ข้าคิดว่าท่านเป็นเนินเขาเสียอีก”
-1,“เนินเขางั้นรึ” ราชสีห์แยกเขี้ยวคำรามอวดฟันซี่ใหญ่เงาวับสองแถว 
-1,“งั้นเนินเขาลูกนี้หิวแล้ว ถึงเวลากินอาหารสักคำแล้วละ” ราชสีห์อ้าปากกว้าง น่ากลัวยิ่งนัก
0,“ช้าก่อน!” หนูร้องเสียงแหลม “ได้โปรดเถอะ! ถ้าท่านปล่อยข้าไป ข้าสัญญาว่าจะตอบแทนบุญคุณท่าน”
0,ราชสีห์ชะงักแล้วก้มลงมองสัตว์ตัวน้อย “อย่างเจ้าน่ะรึ”
0,มันพูดอย่างไม่เชื่อ “ตัวเล็กๆ อย่างเจ้าจะทำประโยชน์อะไรให้ข้าได้”
-1,“ท่านไม่มีวันรู้หรอก” เสียงเล็กๆของมันตอบออกมา “ถ้าท่านเกิดตกอยู่ในความลำบาก
1,ข้าอาจจะช่วยท่านให้รอดพ้นจากอันตรายได้นะ”
1,ราชสีห์เอนศีรษะไปด้านหลังแล้วหัวเราะดังลั่น มันหัวเราะไม่หยุด จนน้ำตาไหลเป็นทาง
1,“ตลอดชีวิตของข้าไม่เคยได้ยินเรื่องอะไรตลกขนาดนี้มาก่อนเลย” มันร้อง พลางจับสีข้างไว้
1,“ไม่เห็นจะตลกขนาดนั้นเลย” หนูพูด พร้อมกับกอดอกอย่างขุ่นเคือง
1,แต่ท่าทางของมันยิ่งทำให้ราชสีห์หัวเราะหนักเข้าไปอีก
1,“ยังไงกินเศษอาหารเล็กๆ อย่างเจ้าก็ไม่อิ่มอยู่ดี” ราชสีห์ถอนหายใจ เมื่อมันควบคุมตัวเองให้หยุดหัวเราะได้ในตอนหลัง
1,“เพราะว่าเจ้าทำให้ข้าอารมณ์ดี ข้าจะยอมปล่อยเจ้าไป”
0,ราชสีห์ยกอุ้งเท้าออกจากหางของหนู
1,“ขอบคุณท่าน” หนูยิ้มกว้าง “ท่านจะไม่เสียใจแน่”
1,“ไปซะที” ราชสีห์หัวเราะหึๆ “ก่อนที่ข้าจะเปลี่ยนใจ”
0,หนูรีบวิ่งกลับบ้านเร็วที่สุดเท่าที่ขาจะพามันวิ่งไปได้
0,ไม่กี่วันต่อมา ระหว่างที่หนูน้อยกำลังวิ่งเล่นอยู่ในป่า
-1,ก็มีเสียงคำรามอย่างโกรธแค้นทำลายความเงียบขึ้นมา จนนกบินแตกฮือไปทุกทิศทาง
0,“เสียงนั้นเหมือนเสียงราชสีห์เลย” หนูคิด
-1,ครู่ต่อมา ก็มีเสียงคำรามดังขึ้นอีกครั้ง คราวนี้เบากว่าครั้งก่อน ตามด้วยเสียงครางต่ำๆ ดังเป็นเวลานาน
-1,“ฟังเหมือนกับว่าราชสีห์กำลังเดือดร้อนอยู่” หนูน้อยพูดกับตัวเองแล้วมันก็รีบไปตามเสียงนั้น
1,หนูไปถึงลานโล่งแห่งหนึ่งก็พบกับราชสีห์ ตกอยู่ในสภาพน่าสงสารอย่างยิ่ง
-1,ตัวมันติดอยู่ในตาข่ายดักสัตว์ของนายพราน มันกำลังปลุกปล้ำอยู่กับตาข่ายอย่างสิ้นหวัง
0,แต่ยิ่งมันพยายามจะดิ้นให้หลุดมากเท่าไร ตาข่ายก็ยิ่งพันตัวแน่นขึ้นเท่านั้น
0,“สวัสดีจ้ะ ท่านราชสีห์” หนูน้อยทัก
-1,ราชสีห์หยุดดิ้นรนแล้วถอนหายใจเฮือกใหญ่ “ข้าว่าเจ้าคงมาเยาะเย้ยข้าละสิ ก็ข้าไม่มีอำนาจอะไรแล้วนี่” ราชสีห์พูด
1,“ไม่เลย” หนูน้อยตอบ “ข้ามาเพื่อจะตอบแทนที่ท่านปล่อยข้าให้เป็นอิสระ--อย่างที่ข้าสัญญาเอาไว้ไงล่ะ”
-1,ราชสีห์กลอกนัยน์ตา “ข้าเดือดร้อนมากพอแล้ว
1,แล้วข้าก็ตัวใหญ่และแข็งแรงกว่าเจ้าตั้งมากมาย” พูดจบ ราชสีห์ก็กลับไปปลุกปล้ำกับตาข่ายต่อ
1,“หยุดกลิ้งไปกลิ้งมาสักเดี๋ยวสิท่าน” หนูน้อยพูดอย่างกระตือรือร้น แล้วมันก็ไต่ขึ้นไปบนหลังราชสีห์ ก่อนจะแทะเชือกทีละเส้น
0,ไม่นานหนูก็กระโดดกลับลงมาที่พื้น “เรียบร้อยแล้ว”
0,ราชสีห์ยืนขึ้น แล้วตาข่ายก็หล่นลงไปบนพื้น
1,มันเป็นอิสระแล้ว “เหลือเชื่อ!”
1,ราชสีห์กล่าว พลางสะบัดแผงคออันสง่างามของมัน “ใครจะคิดว่าสัตว์ตัวเล็กๆ อย่างเจ้าจะช่วยชีวิตราชสีห์ตัวหนึ่งได้
1,ขอบคุณนะเพื่อนตัวน้อย ขอบคุณจากใจจริง”
-1,“นิทานเรื่องนี้สอนให้รู้ว่า” อย่าดูถูกผู้ที่ต่ำต้อยกว่าตนเอง
0,นกกระสากับหมาจิ้งจอก
-1,มีหมาจิ้งจอกจอมเจ้าเล่ห์ตัวหนึ่งอาศัยอยู่ในป่าใกล้ทะเลสาบ มันขึ้นชื่อเรื่องการกลั่นแกล้งผู้อื่น
1,บรรดาสัตว์ในป่าแห่งนี้ต่างรู้กิตติศัพท์ของมันเป็นอย่างดี จึงไม่มีสัตว์ตัวไหนจะหลงกลมันอีกต่อไป
0,บ่ายวันหนึ่ง หมาจิ้งจอกเห็นนกกระสาบินร่อนลงมาที่ริมทะเลสาบ
0,“เรามีผู้มาเยือนหน้าใหม่ละ” หมาจิ้งจอกคุยกับกระรอกที่วิ่งไปมาอยู่บนกิ่งไม้เหนือศีรษะ“ข้าว่าข้าจะไปแนะนำเธอให้รู้จักดินแดนแห่งนี้สักหน่อย”
1,“คิดหรือว่าเจ้าจะหลอกนกกระสาได้” กระรอกเตือน “นกกระสาน่ะฉลาดมากเลยนะ ไม่หลงกลเจ้าง่ายๆ หรอก”
0,“พวกเจ้าคิดอย่างนั้นหรือ” หมาจิ้งจอกพูด “งั้นก็คอยดูละกัน”
